velocity,skill,energy_consumption
60,Glue Type C,5.873152651
40,Glue Type C,8.695382464
75,Glue Type C,7.232930403
40,Glue Type C,8.567318873
40,Glue Type C,9.395206518
60,Glue Type C,6.78951114
60,Glue Type A,7.377612637
75,Glue Type A,7.437621457
50,Glue Type A,7.912357482
75,Glue Type A,7.227346392
75,Glue Type C,5.86804826
50,Glue Type C,6.936776597
50,Glue Type A,7.735684932
40,Glue Type A,9.934192347
50,Glue Type C,7.23229938
60,Glue Type A,7.152779442
50,Glue Type C,7.022056761
40,Glue Type C,9.189783716
75,Glue Type C,5.346368143
60,Glue Type A,7.159438841
75,Glue Type A,7.670271873
40,Glue Type A,9.462355228
50,Glue Type A,8.258947352
40,Glue Type A,8.792344041
75,Glue Type A,7.24987743
40,Glue Type C,8.805060389
50,Glue Type C,7.701478562
40,Glue Type A,10.34484606
60,Glue Type A,7.615286143
50,Glue Type C,7.660351214
40,Glue Type A,10.47568246
50,Glue Type C,8.046123857
75,Glue Type C,6.123608149
75,Glue Type A,7.593757642
50,Glue Type C,6.960321914
75,Glue Type C,4.854600333
75,Glue Type C,6.384742262
40,Glue Type A,9.520886337
60,Glue Type C,6.219282939
60,Glue Type A,7.093001345
60,Glue Type A,6.94570166
40,Glue Type C,10.16425837
60,Glue Type A,7.399314074
60,Glue Type C,5.752952668
40,Glue Type C,8.413887004
50,Glue Type C,6.81522706
50,Glue Type A,7.515494967
75,Glue Type C,9.391587066
75,Glue Type A,7.016901774
40,Glue Type C,8.441864273
75,Glue Type A,7.554142219
75,Glue Type C,6.547723889
40,Glue Type A,9.649391488
75,Glue Type C,5.82659036
60,Glue Type C,6.89271742
60,Glue Type C,6.868175122
60,Glue Type C,6.144082896
50,Glue Type C,8.321381649
60,Glue Type C,6.955642104
60,Glue Type A,6.522926968
60,Glue Type A,6.747180277
50,Glue Type C,7.375842708
60,Glue Type C,6.02835319
40,Glue Type C,8.215606148
40,Glue Type A,9.854816855
75,Glue Type C,6.264656961
50,Glue Type C,7.342275822
50,Glue Type C,7.456032604
40,Glue Type C,8.878199177
75,Glue Type C,7.622932229
60,Glue Type A,7.360201299
40,Glue Type C,9.185474391
50,Glue Type A,7.986959819
50,Glue Type A,8.530101445
50,Glue Type A,7.627724953
40,Glue Type A,10.40718005
60,Glue Type C,6.146130913
40,Glue Type A,9.763690387
40,Glue Type C,9.023654046
50,Glue Type C,7.898468883
40,Glue Type C,8.67314958
60,Glue Type C,6.343848423
40,Glue Type C,8.774966996
40,Glue Type A,9.466988662
50,Glue Type C,7.436634305
50,Glue Type A,7.867554569
40,Glue Type A,9.7197079
75,Glue Type A,7.392728987
75,Glue Type A,6.944525136
50,Glue Type C,7.476684035
